TotalNumberOfVictims,Date
8.0,30/12/1999
6.0,11/12/2007
3.0,04/11/2015
3.0,21/03/2016
4.0,12/07/2015
3.0,06/05/1993
3.0,24/07/2008
4.0,16/06/2015
4.0,15/10/1992
8.0,27/09/2012
4.0,06/03/2016
10.0,30/12/1974
22.0,14/02/2008
11.0,26/09/1988
3.0,20/03/2016
9.0,12/02/2007
8.0,09/03/2016
9.0,14/11/1991
17.0,25/02/2016
3.0,24/02/2015
14.0,18/02/1983
3.0,21/10/2013
6.0,19/02/2013
15.0,05/03/2001
10.0,03/08/2010
4.0,05/03/2016
3.0,11/12/2012
4.0,20/06/2015
3.0,29/01/2016
3.0,19/03/1982
7.0,15/09/1997
3.0,11/02/1988
4.0,21/02/2016
7.0,03/02/2013
4.0,06/02/2016
3.0,10/02/2015
5.0,11/01/2016
4.0,10/08/1989
8.0,28/12/2013
8.0,26/02/2015
29.0,14/12/2012
5.0,13/03/2015
5.0,27/01/2016
4.0,12/05/2015
11.0,06/09/2011
6.0,18/03/2015
4.0,31/05/2015
4.0,20/02/2016
4.0,21/04/2016
4.0,26/02/2016
4.0,19/03/2016
3.0,26/08/2015
4.0,14/12/1988
7.0,02/11/1999
4.0,03/05/2015
4.0,07/03/2016
4.0,17/01/2016
3.0,04/02/2015
5.0,19/03/2016
14.0,21/03/2005
7.0,30/12/1994
7.0,07/02/2008
10.0,05/08/2012
5.0,27/01/2016
5.0,17/09/2006
22.0,31/12/1972
5.0,07/03/2016
35.0,02/12/2015
6.0,18/12/1997
3.0,31/05/2015
4.0,19/04/2016
4.0,22/07/2015
7.0,29/06/1984
4.0,22/02/2015
4.0,25/02/2016
4.0,17/09/1993
6.0,05/08/2013
5.0,19/04/2016
4.0,02/02/1996
3.0,08/06/2014
9.0,12/07/1976
4.0,10/09/2015
4.0,06/04/2011
4.0,29/04/2016
6.0,13/03/2013
12.0,27/11/2015
8.0,07/02/2016
4.0,18/04/2016
27.0,20/06/1994
4.0,09/10/2015
14.0,01/05/1992
9.0,07/07/2011
9.0,09/12/2007
3.0,25/03/2016
17.0,03/04/2009
7.0,15/12/2014
4.0,22/02/2012
15.0,16/09/2013
11.0,24/12/2008
4.0,19/02/1997
5.0,01/01/2015
11.0,23/07/2015
7.0,24/04/2013
4.0,15/03/2016
6.0,22/09/1988
4.0,09/02/2015
7.0,06/03/2016
7.0,16/07/2015
6.0,30/05/2012
3.0,15/11/1995
14.0,24/02/1984
10.0,27/09/2015
4.0,03/04/2015
16.0,01/10/2015
3.0,19/03/2015
10.0,02/10/2006
3.0,06/02/2016
5.0,23/11/2015
7.0,25/04/2015
3.0,28/02/2015
4.0,14/08/2013
3.0,19/12/1997
3.0,27/02/2015
11.0,29/01/1979
6.0,12/02/2010
5.0,21/03/1995
3.0,28/10/2002
6.0,12/11/1966
5.0,19/03/2016
8.0,20/02/2016
5.0,01/05/2015
5.0,19/01/2013
7.0,07/10/2007
8.0,06/02/2016
4.0,04/12/1986
49.0,16/04/2007
4.0,24/01/2015
14.0,15/09/1999
5.0,26/04/2016
4.0,26/01/1995
5.0,11/11/1971
3.0,31/10/2015
6.0,07/02/2015
10.0,10/04/2007
14.0,08/07/2003
8.0,21/11/2004
8.0,24/01/2015
29.0,21/05/1998
5.0,14/12/1993
3.0,08/07/1993
3.0,31/01/2016
3.0,20/03/2016
6.0,09/06/2012
9.0,05/02/2001
3.0,05/06/2014
4.0,23/11/2015
4.0,13/03/2016
3.0,30/03/2015
8.0,23/03/2014
10.0,29/03/2009
6.0,26/07/2013
48.0,01/08/1966
19.0,08/01/2011
7.0,06/10/1979
10.0,29/06/2014
3.0,26/03/2016
12.0,06/02/2011
6.0,24/02/2005
3.0,21/10/2015
4.0,25/10/2007
4.0,08/08/2014
8.0,07/06/2013
6.0,20/05/1999
5.0,25/01/2016
4.0,20/02/2016
11.0,08/12/2004
9.0,09/08/1991
4.0,21/04/2013
4.0,07/06/2015
6.0,01/11/1991
3.0,06/03/1985
4.0,11/10/2007
35.0,17/01/1989
6.0,01/02/2015
3.0,10/10/1991
4.0,13/11/2015
5.0,11/03/2016
3.0,07/11/2015
4.0,07/04/2015
19.0,02/04/2014
3.0,07/02/2015
8.0,19/02/1976
4.0,19/04/2016
3.0,31/03/2016
5.0,25/05/2015
16.0,10/03/2009
4.0,26/05/1994
4.0,01/11/2013
6.0,06/10/1998
6.0,27/02/2012
4.0,29/11/2009
7.0,25/06/2008
4.0,24/08/2006
5.0,03/04/1995
25.0,07/12/1993
12.0,07/02/2016
14.0,01/07/1993
6.0,24/04/2016
5.0,12/08/1986
5.0,28/01/2015
15.0,24/03/1998
70.0,20/07/2012
12.0,06/08/1993
8.0,30/01/2016
7.0,21/10/2012
6.0,14/12/1992
9.0,01/10/1997
4.0,23/02/2016
9.0,09/03/2016
10.0,02/04/2012
7.0,06/03/2016
4.0,23/02/2016
3.0,19/11/2014
4.0,06/12/1999
20.0,23/04/1987
4.0,27/02/2016
5.0,21/02/2016
10.0,23/05/2014
3.0,30/08/2006
6.0,27/08/2003
6.0,16/01/2002
4.0,10/01/2015
11.0,12/03/2005
5.0,05/04/2015
4.0,16/04/2015
4.0,19/02/2016
6.0,24/12/2007
20.0,14/09/1989
8.0,07/08/2013
4.0,21/01/1985
4.0,28/02/2016
5.0,06/04/2012
15.0,28/09/2012
6.0,11/09/1992
5.0,06/12/2015
11.0,16/02/1988
11.0,20/08/1982
8.0,08/08/2015
3.0,09/02/2016
43.0,16/10/1991
